state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_date
Washington,No,0.0,0.5,1.0,F,0.5,Married,Corporate Auto,1,Agent,Two-Door Car,0.5,2011-02-24
Arizona,No,0.5,0.5,0.0,F,0.5,Single,Personal Auto,3,Agent,Four-Door Car,0.5,2011-01-31
Nevada,No,1.0,0.5,1.0,F,0.5,Married,Personal Auto,1,Agent,Two-Door Car,0.5,2011-02-19
California,No,0.0,0.5,0.0,M,0.5,Married,Corporate Auto,1,Call Center,SUV,0.5,2011-01-20
Washington,No,0.0,0.5,1.0,M,0.0,Single,Personal Auto,1,Agent,Four-Door Car,0.5,2011-02-03
Oregon,Yes,0.0,0.5,1.0,F,0.0,Married,Personal Auto,2,Web,Two-Door Car,0.5,2011-01-25
Oregon,Yes,0.0,0.5,1.0,F,0.5,Married,Corporate Auto,1,Agent,Four-Door Car,0.5,2011-02-24
Arizona,No,1.0,1.0,0.0,M,1.0,Single,Corporate Auto,1,Agent,Four-Door Car,0.5,2011-01-18
Oregon,Yes,0.0,0.5,0.0,M,0.5,Divorced,Corporate Auto,1,Agent,Four-Door Car,0.5,2011-01-26
Oregon,No,0.5,0.5,1.0,F,1.0,Married,Special Auto,2,Branch,Four-Door Car,0.5,2011-02-17
California,No,0.0,0.5,0.0,M,0.5,Single,Personal Auto,1,Agent,Four-Door Car,0.0,2011-02-21
California,No,0.0,0.5,0.0,F,0.5,Married,Personal Auto,2,Agent,SUV,0.5,2011-01-06
California,No,1.0,1.0,1.0,M,1.0,Married,Corporate Auto,2,Agent,Four-Door Car,0.5,2011-02-06
Arizona,Yes,0.0,0.0,1.0,M,0.5,Married,Corporate Auto,2,Branch,SUV,0.5,2011-01-10
California,No,0.0,0.5,1.0,M,1.0,Single,Corporate Auto,4,Call Center,Four-Door Car,0.5,2011-01-18
Oregon,No,0.0,0.5,1.0,F,0.0,Married,Corporate Auto,2,Branch,Four-Door Car,0.5,2011-01-17
Nevada,No,0.0,0.0,0.0,M,0.5,Married,Personal Auto,2,Call Center,Two-Door Car,0.5,2011-02-06
California,No,0.0,0.5,0.0,M,0.5,Married,Personal Auto,3,Call Center,SUV,0.5,2011-01-05
Oregon,No,0.0,0.5,1.0,M,1.0,Married,Personal Auto,2,Branch,Four-Door Car,0.5,2011-02-27
California,No,1.0,0.0,1.0,F,0.5,Married,Corporate Auto,1,Call Center,Four-Door Car,0.0,2011-01-14
Oregon,No,0.0,0.0,1.0,M,0.5,Single,Personal Auto,1,Branch,Two-Door Car,0.5,2011-02-19
Washington,No,0.5,0.5,0.0,F,0.5,Divorced,Personal Auto,4,Call Center,Four-Door Car,0.5,2011-01-21
Arizona,Yes,0.0,0.5,0.0,M,0.5,Divorced,Personal Auto,1,Agent,Four-Door Car,0.5,2011-01-26
Nevada,No,0.0,0.5,0.0,F,0.5,Single,Corporate Auto,1,Branch,Four-Door Car,0.5,2011-02-24
California,No,0.0,0.5,0.0,F,0.5,Married,Corporate Auto,2,Branch,Four-Door Car,0.5,2011-02-05
Oregon,No,0.0,0.5,1.0,M,0.5,Married,Personal Auto,2,Call Center,Four-Door Car,1.0,2011-01-29
California,No,1.0,0.5,0.0,F,0.5,Single,Personal Auto,1,Agent,Four-Door Car,0.0,2011-02-28
Washington,No,0.5,1.0,0.0,F,1.0,Married,Corporate Auto,1,Branch,SUV,0.5,2011-02-12
Arizona,No,1.0,0.5,1.0,F,0.5,Single,Personal Auto,1,Call Center,Four-Door Car,1.0,2011-02-02
Oregon,No,0.5,1.0,1.0,F,0.5,Married,Personal Auto,2,Branch,Four-Door Car,0.0,2011-02-07
Arizona,No,0.0,0.5,1.0,M,0.5,Married,Personal Auto,4,Call Center,Four-Door Car,0.0,2011-02-28
Nevada,No,0.5,0.0,1.0,M,1.0,Married,Corporate Auto,2,Agent,Lux_Sport_Car,0.5,2011-01-22
California,No,0.0,0.5,0.0,M,1.0,Married,Personal Auto,1,Call Center,Four-Door Car,0.5,2011-01-25
Washington,No,0.0,0.5,1.0,M,0.5,Married,Corporate Auto,1,Agent,Two-Door Car,0.0,2011-01-18
Oregon,No,0.0,0.5,1.0,F,0.0,Married,Corporate Auto,3,Web,Four-Door Car,0.5,2011-02-13
